Alternatif,Score
M095,0.008619252080269063
M009,0.007252993866423267
M058,0.007221227491324399
M001,0.0071535590146714415
M078,0.007100649721794961
M099,0.0069893976924427295
M074,0.006932292816630178
M122,0.006895239904898727
M089,0.006641858557145072
M007,0.006614297811307028
M067,0.006605477016047115
M093,0.0063452916178570965
M102,0.006273822545055071
M006,0.006243599151743719
M004,0.006061121229218517
M042,0.006025816569491808
M011,0.006025186490344759
M023,0.005973962131966907
M026,0.005878967914039571
M057,0.005825644970275125
M021,0.005821271430035746
M038,0.005810703879784694
M002,0.005790719958271521
M062,0.005690576351477054
M034,0.005679335681838481
M015,0.0056579890497271065
M055,0.005631567765872697
M103,0.005626550739151096
M096,0.005617350650012052
M050,0.005607207347000272
M070,0.005531268675783797
M019,0.005530561230195685
M012,0.0054901640655447784
M014,0.0054772777787306355
M127,0.005477032676893665
M072,0.005473168857677125
M041,0.005452799806245676
M035,0.005443273358804854
M045,0.00543736204455441
M027,0.005436528511218849
M064,0.005385253707070473
M047,0.00536673977525104
M134,0.005342095843960374
M020,0.005332147571186876
M097,0.00532610120096431
M030,0.005322876706998411
M059,0.005320429965910388
M073,0.005305535970250485
M008,0.005302046932292124
M036,0.005298741379870289
M037,0.005283874482213379
M043,0.005282717707947919
M048,0.005253821942454961
M046,0.005243455321846585
M087,0.005235443193974522
M044,0.00521876664558646
M091,0.005207689683627077
M040,0.005198466547806044
M028,0.005189355451356739
M003,0.005155257566731396
M075,0.00515178405229153
M032,0.0051487426141877315
M005,0.005125079129108321
M126,0.005106881858429926
M104,0.00510281659095199
M153,0.005098614110318996
M017,0.005095901881183902
M029,0.005087961264205394
M109,0.005073067014194818
M051,0.005058674198732268
M154,0.0050436403712134665
M084,0.005038537460115322
M066,0.005001620737090472
M056,0.0049743061476325255
M123,0.00496152816141859
M071,0.004940743233744504
M092,0.0049355333809330635
M105,0.004923446849379705
M181,0.004881852979838822
M110,0.004876413658162316
M033,0.0048717476566729695
M187,0.004853107653185451
M101,0.0048265974794461635
M039,0.004808267507317829
M076,0.004791019451931848
M129,0.004787030234134903
M025,0.004775176393058549
M061,0.004758084406646483
M060,0.004757958594935277
M079,0.004754753525198055
M147,0.004710121273175007
M161,0.004691415544675902
M024,0.004677065261443771
M128,0.004667840991483161
M069,0.004666210638249735
M162,0.004659754423412809
M018,0.004645588482254
M200,0.004644583751103092
M052,0.004627050128045892
M054,0.004625531601995548
M010,0.004615226697263292
M049,0.0046126813853639495
M119,0.00461186282092492
M111,0.00459538262558486
M117,0.004579118572847754
M183,0.004569561262683088
M098,0.004568420445155359
M125,0.004557022450497031
M031,0.0045523687331605455
M086,0.0045493257081356715
M169,0.004537372649626874
M063,0.004534166389791425
M013,0.00453264580419291
M085,0.004522569896289357
M113,0.004520210025986582
M118,0.00450918910583006
M090,0.004499286446611368
M167,0.004484433853163431
M114,0.004416113978507099
M016,0.004413354527190381
M148,0.004408892787015038
M022,0.00439480641480319
M083,0.0043913232233945484
M094,0.004390878201498853
M170,0.0043762080329104456
M182,0.0043762080329104456
M135,0.004365559809675731
M160,0.004364423928549128
M065,0.00435373789123273
M180,0.0043506564171574506
M176,0.004347620613441691
M157,0.004346800031124958
M179,0.004344004869705467
M159,0.004323627856256591
M115,0.0043213814669952905
M168,0.0043069767197316125
M163,0.0043063781588735806
M121,0.0042946072569788295
M197,0.004284699609097299
M185,0.004281139222891062
M206,0.004274101408462983
M140,0.004266077516752114
M081,0.00424384246661849
M138,0.004243755914408977
M116,0.004221355187653484
M136,0.004220694486250879
M164,0.004217868721336239
M107,0.004215773646254893
M112,0.0042106463311669465
M172,0.0042014553772005405
M141,0.004198736242134959
M077,0.004194329236775343
M177,0.004190170462115178
M210,0.00415581934978607
M143,0.004143649431593002
M100,0.004136217283696984
M174,0.004121874774470814
M082,0.004118279573843794
M146,0.004082013419173368
M068,0.004072110759954674
M178,0.004064375895654528
M106,0.0040638511440704034
M053,0.004062269273500013
M152,0.0040608567549816664
M142,0.004057452854486891
M150,0.004021899586377916
M189,0.004011038910786124
M155,0.003986023707192681
M171,0.003971651682640601
M184,0.003948990967583685
M175,0.0039454513122493835
M144,0.003937020200522039
M124,0.003934937155630912
M156,0.003930974377191693
M130,0.003918753320319454
M196,0.003918081979868045
M192,0.0038987048262161942
M166,0.003888468483254305
M194,0.0038878243088414687
M191,0.0038855234087677537
M186,0.0038674096146317943
M108,0.003864117441692779
M131,0.003848236575844121
M204,0.00383148698279625
M201,0.0038298663637992775
M195,0.0038165266063871807
M202,0.003813884992089618
M080,0.003799824048821063
M133,0.0037897403733886566
M120,0.0037671535501186504
M151,0.003707004218412663
M139,0.0036768851905772454
M203,0.003674650590338643
M211,0.003648608775128521
M173,0.003645271785025677
M199,0.0036421134212957307
M207,0.0036357481911574296
M088,0.003630879963572968
M198,0.0036246003037315273
M145,0.0036042211616607615
M165,0.0036042211616607615
M158,0.0035927925958512442
M188,0.003503665389635087
M137,0.0034756288536175943
M132,0.003393653659276085
M209,0.0033909964910239683
M190,0.003359903972594685
M149,0.0032986288808985204
M193,0.003289587444985855
M205,0.0029478620322249856
M208,0.0027578543831516906
M212,0.0026745725812068024
